item_id,flip_label,logistic_risk,random_forest_risk
ammlu_490,0,0.4588656434729633,0.3810816560656012
ammlu_13241,1,0.24165236214683747,0.3156391871277505
ammlu_12640,0,0.2008163242694494,0.23055107857951768
ammlu_8479,0,0.4103301218406933,0.32386226520836364
ammlu_4586,0,0.40302427979015987,0.44669888777937117
ammlu_4216,0,0.4018165419985001,0.2788611485904123
ammlu_7803,1,0.7035104241811935,0.33202735409697454
ammlu_14402,0,0.534624103615752,0.3406146649538237
ammlu_3742,0,0.4985601304650823,0.3458887359327202
ammlu_7949,0,0.2852994482712922,0.23503719887953126
ammlu_9396,0,0.26765905672453477,0.4306096065483025
ammlu_8631,0,0.37229385033683526,0.42442775947870315
ammlu_13282,1,0.2537494182748289,0.3567336597584493
ammlu_12411,1,0.7853904470334176,0.5080203970837117
ammlu_2814,0,0.6866937244648028,0.5312495757361155
ammlu_7760,1,0.6879986196134795,0.4759545083859077
ammlu_12705,0,0.29357771888595646,0.3617559692831768
ammlu_7300,0,0.5111314945431483,0.5072892288737234
ammlu_7243,0,0.6315730596336377,0.4427212669703704
ammlu_8793,0,0.21795723509128984,0.1840527217629808
ammlu_1419,0,0.4691913953748621,0.3675966437678621
ammlu_11665,0,0.6062034993297049,0.41890741854791996
ammlu_2312,0,0.5531792584355382,0.4521615487254206
ammlu_13545,0,0.5387537806075073,0.45294191386442845
ammlu_13077,0,0.7652928147835819,0.5698102909211185
ammlu_4304,0,0.6132643640441647,0.35744178271310867
ammlu_14151,0,0.5305425694599646,0.3795420805905523
ammlu_13700,0,0.2336407807246845,0.41242538988800687
ammlu_705,1,0.23833635680230908,0.3780457367094437
ammlu_241,0,0.48211533313249183,0.5126694824481008
ammlu_740,0,0.47114236869634224,0.3826034803925331
ammlu_9068,0,0.4855748824173957,0.41415992168760574
ammlu_9473,0,0.39189648555995993,0.47992582801503547
ammlu_10227,0,0.5085540142468842,0.4485989268504042
ammlu_10242,0,0.5394054076861735,0.34928781592651303
ammlu_11595,0,0.2893192531222159,0.4207031196355362
ammlu_8659,0,0.39058873889981166,0.3834505758643183
ammlu_8776,0,0.28249564864443144,0.2830045007773713
ammlu_6756,0,0.6064325334623903,0.4693999341760695
ammlu_9687,0,0.4461551250709791,0.22465159339467136
ammlu_7340,1,0.40406628459214183,0.32424403232572907
ammlu_4482,0,0.3476619056172692,0.3371503980619179
ammlu_8301,0,0.47530064828097124,0.4004293973667564
ammlu_7045,0,0.16112523114384633,0.3614366706561233
ammlu_14430,0,0.4794369610832067,0.5519509929248901
ammlu_13630,0,0.1710178547336328,0.28519195510563344
ammlu_2182,0,0.8636242477090073,0.6603784355835738
ammlu_6335,0,0.6513134379541703,0.40458224258258446
ammlu_13514,0,0.21564946941713342,0.28405406504397385
ammlu_2757,1,0.4842988034217542,0.36053014373867803
ammlu_5841,0,0.42890177322286505,0.25839792114797944
ammlu_6024,1,0.4532914346712459,0.29956050763157666
ammlu_9970,1,0.6371072794086311,0.3430035151884091
ammlu_12842,0,0.638065461453294,0.5612058875584103
ammlu_7061,0,0.2862314186682802,0.4108988687941251
ammlu_11981,0,0.39560653318162453,0.3255049699187913
ammlu_491,0,0.36539031465824356,0.4220017543548403
ammlu_3686,1,0.4772969329133221,0.3217750593314426
ammlu_11280,0,0.2327018530952158,0.19039002954215214
ammlu_8014,0,0.06277461764415937,0.2362161078225565
ammlu_4646,0,0.1390821127179725,0.4697193941212881
ammlu_7996,0,0.2772555848130359,0.2991641541011824
ammlu_9796,0,0.3498544892946841,0.3347184242275806
ammlu_12310,0,0.3831764593440579,0.22866158397911504
ammlu_11837,0,0.38521605765973116,0.44406840271348824
ammlu_1137,1,0.8670478513230476,0.5831404349607741
ammlu_97,0,0.4303067199528797,0.26275524975432857
ammlu_9839,0,0.2727119180037414,0.3831638213626536
ammlu_8234,1,0.4076470324456455,0.3931817359009544
ammlu_11374,1,0.5871536593387219,0.6185568296222492
ammlu_3058,0,0.19884660280197144,0.29477611808264476
ammlu_6631,1,0.03114098421568831,0.15030470047762884
ammlu_14133,0,0.6654386460262542,0.4055909162288001
ammlu_7602,0,0.708562671184722,0.420478801394434
ammlu_14000,0,0.6266438568741137,0.5072708931118036
ammlu_1931,1,0.5638961541897579,0.535845423962822
ammlu_9434,0,0.2714301436154669,0.42969391585927064
ammlu_4672,0,0.40165252780954497,0.30669348034563254
ammlu_12832,1,0.4036554298510324,0.3845627385080465
ammlu_11857,0,0.08467213091109284,0.17584395235892075
ammlu_14046,0,0.7881921518918932,0.522440067611127
ammlu_8298,0,0.5324509129393404,0.404361925605409
ammlu_4953,0,0.4998998957099921,0.39050873024697874
ammlu_515,1,0.24900831289092587,0.32945558984275425
ammlu_8120,0,0.038963625327877074,0.32945091724564324
ammlu_9619,1,0.3594025514959155,0.3268723779954141
ammlu_10214,0,0.5509165829034234,0.42041018839621747
ammlu_14108,1,0.528314323268057,0.5292582173793553
ammlu_331,0,0.25310699729475383,0.2545163620139044
ammlu_9161,1,0.24411152955177343,0.3192209582251273
ammlu_2538,0,0.4074800911684026,0.2831111000264271
ammlu_11953,0,0.04048629571117145,0.21492380806093206
ammlu_1995,1,0.44543879735410263,0.41624543030024186
ammlu_12699,0,0.2646194146161587,0.4190884306670635
ammlu_677,0,0.4303834641362971,0.39489317455264866
ammlu_7632,0,0.769759965781937,0.5211554776929573
ammlu_1245,0,0.43459915295992413,0.40437055735844857
ammlu_1284,0,0.44091605856196864,0.38011117016650803
ammlu_2336,1,0.9380043119959814,0.665008194061022
ammlu_4282,1,0.25300608223581283,0.36225530698077235
ammlu_11034,0,0.2684363884031835,0.2541862200306221
ammlu_7797,1,0.6759113231835243,0.33082873464077844
ammlu_3942,0,0.4843897286998558,0.445975308468919
ammlu_4242,0,0.24574604859644794,0.27611780642109557
ammlu_14117,1,0.5678472787069658,0.5188189112652749
ammlu_14028,0,0.5597489530426207,0.5312787401021649
ammlu_2657,0,0.2544761821900204,0.5204413590151509
ammlu_1814,1,0.7454109916135946,0.4448608796179643
ammlu_5497,0,0.566657490837282,0.3183636471440522
ammlu_6721,0,0.45018988722743747,0.32814167575552794
ammlu_3198,0,0.5198422692776893,0.50777761329648
ammlu_3798,1,0.38075109590619394,0.42549319640056665
ammlu_5039,0,0.09031482844447757,0.17519952702128574
ammlu_999,1,0.6476906589185316,0.4522239305125635
ammlu_4373,0,0.658195099029635,0.49085104676180413
ammlu_11782,0,0.1767168299474347,0.18221905063560906
ammlu_6155,1,0.3777058341871817,0.3229363960316385
ammlu_14273,0,0.5402779930980796,0.3409410010208775
ammlu_9287,1,0.27396157921141406,0.37650145215753467
ammlu_5924,0,0.4979066666279906,0.3924898656803883
ammlu_2951,0,0.6405017960683402,0.39189031527581003
ammlu_7147,1,0.22278623800282854,0.2162364647650293
ammlu_6029,1,0.3325458692878542,0.3096318800908529
ammlu_3703,0,0.49728426550886334,0.4625202180774047
ammlu_12868,0,0.45156250039663276,0.49783674526118993
ammlu_10467,0,0.5949211130955451,0.4212596660161524
ammlu_13490,0,0.15181357936249606,0.21487403083886686
ammlu_9076,0,0.4996640212875131,0.35982380313903756
ammlu_10519,1,0.4874287954658062,0.32469416501828485
ammlu_8411,0,0.4146390851186072,0.39699872908607825
ammlu_6208,1,0.36096046080263694,0.598070500015824
ammlu_3746,0,0.48442332734778787,0.38860404625275213
ammlu_4599,0,0.48126897011071423,0.32018941108456445
ammlu_980,0,0.8434579637367747,0.5795384307163574
ammlu_6510,0,0.6152856567707929,0.42757974596711323
ammlu_2672,0,0.695131942492354,0.5535440770352213
ammlu_6626,0,0.36300640699329795,0.43856177041344635
ammlu_9508,0,0.16212027959984193,0.25088804146874427
ammlu_11941,0,0.22107305245208983,0.2711709256126972
ammlu_863,0,0.703868167234627,0.6620374201039272
ammlu_5826,0,0.4681914418209357,0.4948198686884097
