item_id,flip,logistic_risk,random_forest_risk
ammlu_490,0,0.7198637873829958,0.4778951732928403
ammlu_13241,0,0.00532144828373485,0.12660981861682952
ammlu_12640,0,0.023043916116930113,0.16209434579212786
ammlu_8479,1,0.9314616073861979,0.34661539143441616
ammlu_4586,0,0.06485176445397726,0.08909824572455444
ammlu_4216,0,0.0008433823724981036,0.06344419576187592
ammlu_7803,0,0.952054756459172,0.3327705179221925
ammlu_14402,0,0.03694915408560158,0.06835362550034196
ammlu_3742,0,0.08102998908949972,0.17619087744223666
ammlu_7949,0,0.32348358972161434,0.05847464724051041
ammlu_9396,0,0.012414287930635783,0.07382303781643984
ammlu_8631,0,0.011571845589574312,0.06399854842387848
ammlu_13282,0,0.0016374352300204437,0.13377419712143987
ammlu_12411,0,0.7496665639819112,0.3573174533742884
ammlu_2814,0,0.002118404334664833,0.026669686963021553
ammlu_7760,0,0.40343161837426855,0.5180068408852088
ammlu_12705,0,0.0007117084049631704,0.01105896108214495
ammlu_7300,0,0.03712940621181861,0.02466050442729101
ammlu_7243,0,0.0019101674203187743,0.030686148623969674
ammlu_8793,0,0.8979480600527998,0.36629140888552286
ammlu_1419,0,0.019546255443926866,0.03678346734076169
ammlu_11665,0,0.0033244597146984685,0.023085241343696546
ammlu_2312,0,0.008531337515824362,0.03343645350246596
ammlu_13545,0,2.059473595631481e-06,0.023067117863906438
ammlu_13077,0,0.022806968792520085,0.10037082932093166
ammlu_4304,0,0.06558305320431304,0.05315755069163033
ammlu_14151,0,1.2390494837583927e-05,0.010351938349637007
ammlu_13700,0,0.004429792034568172,0.03053817690753309
ammlu_705,0,0.0004966012371573184,0.004066274634456453
ammlu_241,0,0.0014473516165043766,0.02161982030071175
ammlu_740,0,0.001287026344311018,0.00381663205951631
ammlu_9068,0,0.009722137868426689,0.07863041785164748
ammlu_9473,0,0.6795312992798718,0.3233124335222731
ammlu_10227,0,0.2660406310238022,0.19959820333394657
ammlu_10242,0,0.003905653489053218,0.04453003159789703
ammlu_11595,0,0.04070597844584285,0.07450493445313712
ammlu_8659,0,0.016113189286915942,0.029850064279885572
ammlu_8776,0,0.9642201512848406,0.2653205489649555
ammlu_6756,0,0.014182853666497849,0.03315589158970751
ammlu_9687,0,0.47461618710182507,0.49363918109709315
ammlu_7340,0,0.3455193059771321,0.28544656588718526
ammlu_4482,0,8.772827528119476e-05,0.03832914345230777
ammlu_8301,0,0.03978259281682472,0.10953051404755375
ammlu_7045,0,0.00011775828007162353,0.008824758349779993
ammlu_14430,0,0.22741840516068612,0.2832099647170568
ammlu_13630,0,0.25803711268391705,0.11770526528742917
ammlu_2182,0,0.3271798155757211,0.16273832330444915
ammlu_6335,0,0.03691521490689171,0.1142346690219429
ammlu_13514,0,9.184313343145145e-07,0.023067117863906438
ammlu_2757,0,0.39887922255988506,0.4013006575242191
ammlu_5841,0,0.0008437405468766266,0.06845728241853288
ammlu_6024,0,0.00036109812901615406,0.03956204693126557
ammlu_9970,0,0.0022622218332933423,0.035860196077426014
ammlu_12842,1,0.33011707666592915,0.09145688707609857
ammlu_7061,0,0.7000379015407445,0.42478812027419155
ammlu_11981,0,0.0017663472942861934,0.13820597680832114
ammlu_491,0,0.08050775657494225,0.08800990332030406
ammlu_3686,0,0.008733132647739478,0.02177764407949986
ammlu_11280,0,0.0017937901437657042,0.01794389409783879
ammlu_8014,0,0.028096874696985713,0.0879778401258097
ammlu_4646,0,0.013931072653234776,0.02782085071960151
ammlu_7996,0,0.002099291220517359,0.06793352290869673
ammlu_9796,0,0.011568505209468314,0.040529676126474116
ammlu_12310,0,0.2702989605890915,0.33651099780131766
ammlu_11837,0,0.002107267760573288,0.03885011196577006
ammlu_1137,0,0.048519822990242524,0.037908404094362025
ammlu_97,0,0.15909036361897672,0.11101354691779054
ammlu_9839,0,0.005183389901621683,0.02278015942464836
ammlu_8234,0,0.06774252833901753,0.0818434711680187
ammlu_11374,0,0.1359689518832111,0.10368597013844663
ammlu_3058,0,0.10724534736442942,0.25424475636479366
ammlu_6631,0,0.0006513600682821736,0.009893995887000464
ammlu_14133,0,0.010517752818026468,0.07063997467301221
ammlu_7602,0,0.00022341169700579926,0.05302640191424093
ammlu_14000,0,0.0060997561149260275,0.050761489500672524
ammlu_1931,1,0.466324222905326,0.4335387412783039
ammlu_9434,0,0.12470825441338969,0.2687423080300556
ammlu_4672,0,0.022904812350080992,0.0
ammlu_12832,1,0.7933359428488587,0.5658116977645996
ammlu_11857,0,0.05139442705292024,0.04534364169835973
ammlu_14046,0,0.09276769938519312,0.12478186406370448
ammlu_8298,0,0.0021527256644796313,0.07922499948674697
ammlu_4953,0,0.017302545274901174,0.022147980221225293
ammlu_515,0,2.7861199700200515e-06,0.034996440311185976
ammlu_8120,0,0.038201982506123416,0.06790026547631917
ammlu_9619,0,0.10203904568982386,0.08146928379691981
ammlu_10214,0,0.1283068918694808,0.2968277504437918
ammlu_14108,0,0.02984176406394152,0.06533442553578502
ammlu_331,0,0.0010953050865681359,0.049545718876741585
ammlu_9161,0,0.018453456394916776,0.09944154779460657
ammlu_2538,0,0.20023999882780064,0.3516743670127336
