item_id,flip,logistic_risk,random_forest_risk
ammlu_490,0,0.34136849759778004,0.207839556893067
ammlu_13241,0,0.6251211804742709,0.537755927833971
ammlu_12640,0,0.3106955080236072,0.11827394390137572
ammlu_8479,1,0.5215077556723394,0.40756677230769855
ammlu_4586,0,0.2177746078329893,0.12135123029332785
ammlu_4216,0,0.28039347169454276,0.37608927880303183
ammlu_7803,0,0.55159486062943,0.32288731775457874
ammlu_14402,0,0.19547601477385743,0.2837812434235221
ammlu_3742,0,0.044403766150898666,0.08625903784400393
ammlu_7949,0,0.837648314223384,0.2025393885282666
ammlu_9396,0,0.02574344092121878,0.11757089293552246
ammlu_8631,0,0.1927690387852973,0.20468175411613074
ammlu_13282,0,0.8085763000416988,0.616584433750216
ammlu_12411,0,0.14275595717682887,0.11729023198513039
ammlu_2814,0,0.11336098906474674,0.16123909569638656
ammlu_7760,0,0.3496686350216478,0.41589606098570436
ammlu_12705,0,0.011997487142931643,0.03209094832125167
ammlu_7300,0,0.06093501774334345,0.16015300643008223
ammlu_7243,0,0.24634481827347285,0.166848433578096
ammlu_8793,0,0.7209529635528542,0.3061383937787113
ammlu_1419,0,0.04808800642281111,0.08240908489799013
ammlu_11665,0,0.11249495618813134,0.17287954946269982
ammlu_2312,0,0.2160032377612547,0.20787347114612856
ammlu_13545,0,0.17742458386833887,0.10120117452217968
ammlu_13077,0,0.580724392476117,0.3885674680243366
ammlu_4304,0,0.5482135693757947,0.23139578784503928
ammlu_14151,0,0.11273792092493888,0.07915592789619842
ammlu_13700,0,0.05596196339845659,0.1865343156393894
ammlu_705,0,0.015164121579333374,0.033258501578382
ammlu_241,0,0.17435522056811978,0.10616189331823979
ammlu_740,0,0.02567604875121663,0.05451576897113194
ammlu_9068,0,0.611026032175567,0.4658035832184717
ammlu_9473,0,0.047500293283715085,0.11315780399189684
ammlu_10227,0,0.05165598618585521,0.1168998620776223
ammlu_10242,0,0.4673622556442926,0.2597561442921919
ammlu_11595,0,0.016414599536835973,0.028566781167029362
ammlu_8659,0,0.3572845836113102,0.12518333753599667
ammlu_8776,0,0.6103779843236019,0.23241118762823498
ammlu_6756,0,0.17995378821924796,0.15519513172177654
ammlu_9687,0,0.21897292594684822,0.24001527674163547
ammlu_7340,0,0.18678969753829514,0.16540144615370891
ammlu_4482,0,0.3421190142492696,0.15488468325012833
ammlu_8301,0,0.6300788094876092,0.5474501349188441
ammlu_7045,0,0.10219461430797351,0.1205879053469291
ammlu_14430,0,0.053284593228794766,0.10402503074561771
ammlu_13630,0,0.42965421271585325,0.23642207614044647
